IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
52.14.132.81,443,443,TRUE,CMH,North America,Columbus,216,1.22
52.30.132.114,443,443,TRUE,DUB,Europe,Dublin,235,1.21
109.205.214.8,443,443,TRUE,AMS,Europe,Amsterdam,272,1.21
34.175.202.195,443,443,TRUE,MAD,Europe,Madrid,278,1.2
143.47.246.17,443,443,TRUE,FRA,Europe,Frankfurt,276,1.12
212.192.31.162,443,443,TRUE,FRA,Europe,Frankfurt,369,1.1
193.123.61.70,443,443,TRUE,FRA,Europe,Frankfurt,279,1.08
141.144.203.244,443,443,TRUE,FRA,Europe,Frankfurt,287,1.07
89.110.69.166,443,443,TRUE,AMS,Europe,Amsterdam,297,1.07
141.148.232.49,443,443,TRUE,FRA,Europe,Frankfurt,361,1.06
185.106.103.168,443,443,TRUE,LCA,Europe,Nicosia,285,1.01
130.162.231.231,443,443,TRUE,FRA,Europe,Frankfurt,280,0.99
213.1.145.50,443,443,TRUE,LHR,Europe,London,225,0.93
158.101.220.27,443,443,TRUE,FRA,Europe,Frankfurt,273,0.87
217.196.106.121,443,443,TRUE,FRA,Europe,Frankfurt,270,0.87
158.178.144.232,443,443,TRUE,FRA,Europe,Frankfurt,277,0.85
141.11.246.29,443,443,TRUE,AMS,Europe,Amsterdam,289,0.85
154.17.230.119,443,443,TRUE,LAX,North America,Los Angeles,172,0.83
158.178.157.6,443,443,TRUE,FRA,Europe,Frankfurt,276,0.8
141.144.204.38,443,443,TRUE,FRA,Europe,Frankfurt,285,0.77
132.226.207.41,443,443,TRUE,FRA,Europe,Frankfurt,269,0.75
141.144.225.247,443,443,TRUE,FRA,Europe,Frankfurt,280,0.75
141.144.226.142,443,443,TRUE,FRA,Europe,Frankfurt,285,0.74
45.85.93.49,443,443,TRUE,MXP,Europe,Milan,215,0.72
89.208.104.241,443,443,TRUE,FRA,Europe,Frankfurt,259,0.72
136.175.176.27,443,443,TRUE,SJC,North America,San Jose,273,0.71
152.67.148.232,443,443,TRUE,FRA,Europe,Frankfurt,275,0.71
77.238.229.221,443,443,TRUE,AMS,Europe,Amsterdam,303,0.65
45.144.234.149,443,443,TRUE,HEL,Europe,Helsinki,301,0.62
185.103.255.245,443,443,TRUE,AMS,Europe,Amsterdam,210,0.62
144.21.39.113,443,443,TRUE,FRA,Europe,Frankfurt,270,0.54
141.147.83.93,443,443,TRUE,FRA,Europe,Frankfurt,274,0.5
144.21.32.33,443,443,TRUE,FRA,Europe,Frankfurt,278,0.49
185.154.155.179,443,443,TRUE,CDG,Europe,Paris,262,0.48
185.203.116.174,443,443,TRUE,SOF,Europe,Sofia,240,0.45
77.238.252.70,443,443,TRUE,AMS,Europe,Amsterdam,304,0.45
141.147.100.34,443,443,TRUE,FRA,Europe,Frankfurt,282,0.42
3.69.0.8,443,443,TRUE,FRA,Europe,Frankfurt,213,0.39
84.8.159.103,443,443,TRUE,FRA,Europe,Frankfurt,261,0.39
185.225.68.232,443,443,TRUE,VIE,Europe,Vienna,265,0.38
132.226.196.216,443,443,TRUE,FRA,Europe,Frankfurt,275,0.38
89.110.69.244,443,443,TRUE,AMS,Europe,Amsterdam,293,0.37
91.220.43.138,443,443,TRUE,RIX,Europe,Riga,247,0.37
129.153.126.67,443,443,TRUE,LAX,North America,Los Angeles,183,0.36
77.238.226.178,443,443,TRUE,AMS,Europe,Amsterdam,310,0.35
143.47.190.89,443,443,TRUE,FRA,Europe,Frankfurt,312,0.34
185.155.235.106,443,443,TRUE,HKG,Asia Pacific,Hong Kong,325,0.34
143.47.187.142,443,443,TRUE,FRA,Europe,Frankfurt,272,0.34
79.132.143.54,443,443,TRUE,FRA,Europe,Frankfurt,275,0.33
185.94.164.72,443,443,TRUE,AMS,Europe,Amsterdam,249,0.33
5.61.39.183,443,443,TRUE,FRA,Europe,Frankfurt,276,0.31
193.168.143.152,443,443,TRUE,OTP,Europe,Bucharest,286,0.31
212.237.218.164,443,443,TRUE,HEL,Europe,Helsinki,290,0.31
46.183.186.57,443,443,TRUE,VIE,Europe,Vienna,221,0.3
89.27.8.25,443,443,TRUE,CPH,Europe,Copenhagen,298,0.29
45.147.51.230,443,443,TRUE,FRA,Europe,Frankfurt,360,0.25
193.233.202.196,443,443,TRUE,KBP,Europe,Kyiv,253,0.23
51.20.215.255,443,443,TRUE,ARN,Europe,Stockholm,233,0.22
79.132.143.121,443,443,TRUE,FRA,Europe,Frankfurt,271,0.22
98.71.19.116,443,443,TRUE,DUB,Europe,Dublin,219,0.22
158.178.157.227,443,443,TRUE,FRA,Europe,Frankfurt,282,0.21
194.87.191.104,443,443,TRUE,AMS,Europe,Amsterdam,212,0.21
52.209.63.185,443,443,TRUE,DUB,Europe,Dublin,238,0.2
18.196.70.197,443,443,TRUE,FRA,Europe,Frankfurt,213,0.2
20.38.32.52,443,443,TRUE,LAX,North America,Los Angeles,201,0.19
81.200.154.52,443,443,TRUE,FRA,Europe,Frankfurt,375,0.19
140.238.29.117,443,80,FALSE,ICN,Asia Pacific,Seoul,76,0.18
35.178.195.80,443,443,TRUE,LHR,Europe,London,232,0.18
3.76.179.225,443,443,TRUE,FRA,Europe,Frankfurt,217,0.18
141.144.207.72,443,443,TRUE,FRA,Europe,Frankfurt,271,0.18
185.233.203.134,443,443,TRUE,AMS,Europe,Amsterdam,219,0.17
79.175.133.246,443,443,TRUE,AMS,Europe,Amsterdam,272,0.17
158.101.202.113,443,443,TRUE,FRA,Europe,Frankfurt,277,0.15
18.185.254.189,443,443,TRUE,FRA,Europe,Frankfurt,210,0.15
192.236.249.97,443,443,TRUE,AMS,Europe,Amsterdam,324,0.14
52.165.82.62,443,443,TRUE,ORD,North America,Chicago,227,0.14
89.110.64.179,443,443,TRUE,AMS,Europe,Amsterdam,297,0.14
217.196.106.76,443,443,TRUE,FRA,Europe,Frankfurt,226,0.13
45.132.18.38,443,443,TRUE,TLL,Europe,Tallinn,282,0.13
3.106.116.226,443,443,TRUE,SYD,Oceania,Sydney,243,0.12
48.217.34.120,443,443,TRUE,IAD,North America,Ashburn,257,0.12
195.200.26.16,443,443,TRUE,AMS,Europe,Amsterdam,298,0.12
52.28.84.2,443,443,TRUE,FRA,Europe,Frankfurt,218,0.12
44.227.22.10,443,443,TRUE,SEA,North America,Seattle,189,0.12
54.71.238.195,443,443,TRUE,SEA,North America,Seattle,191,0.12
46.32.184.115,443,443,TRUE,WAW,Europe,Warsaw,277,0.12
94.142.137.72,443,443,TRUE,AMS,Europe,Amsterdam,225,0.11
92.118.169.17,443,443,TRUE,AMS,Europe,Amsterdam,228,0.11
166.1.129.159,443,443,TRUE,HEL,Europe,Helsinki,295,0.11
51.107.8.167,443,443,TRUE,MXP,Europe,Milan,203,0.1
107.173.149.212,443,443,TRUE,SJC,North America,San Jose,166,0.1
166.1.157.220,443,443,TRUE,HEL,Europe,Helsinki,296,0.1
204.110.223.149,443,443,TRUE,CMH,North America,Columbus,211,0.09
185.172.131.49,443,443,TRUE,FRA,Europe,Frankfurt,259,0.09
104.156.149.24,443,443,TRUE,AMS,Europe,Amsterdam,318,0.09
80.209.243.245,443,443,TRUE,EWR,North America,Newark,234,0.08
18.184.27.249,443,443,TRUE,FRA,Europe,Frankfurt,221,0.08
213.183.51.219,443,443,TRUE,AMS,Europe,Amsterdam,231,0.08
212.118.41.233,443,443,TRUE,AMS,Europe,Amsterdam,287,0.08
188.34.200.15,443,443,TRUE,FRA,Europe,Frankfurt,256,0.07
78.142.230.76,443,443,TRUE,AMS,Europe,Amsterdam,370,0.07
185.8.60.113,443,443,TRUE,FRA,Europe,Frankfurt,260,0.07
165.232.79.190,443,443,TRUE,FRA,Europe,Frankfurt,270,0.07
194.87.179.183,443,443,TRUE,HEL,Europe,Helsinki,329,0.07
45.148.60.11,443,443,TRUE,AMS,Europe,Amsterdam,349,0.07
163.123.143.192,443,443,TRUE,HEL,Europe,Helsinki,309,0.07
185.40.7.249,443,443,TRUE,WAW,Europe,Warsaw,281,0.06
13.53.206.75,443,443,TRUE,CPH,Europe,Copenhagen,240,0.06
3.124.236.70,443,443,TRUE,FRA,Europe,Frankfurt,196,0.06
195.133.13.93,443,443,TRUE,CPH,Europe,Copenhagen,273,0.06
168.119.231.164,443,443,TRUE,FRA,Europe,Frankfurt,279,0.05
178.73.220.132,443,443,TRUE,ARN,Europe,Stockholm,235,0.05
204.12.225.229,443,443,TRUE,MCI,North America,Kansas City,230,0.05
176.105.253.66,443,443,TRUE,WAW,Europe,Warsaw,327,0.05
193.233.202.153,443,443,TRUE,OTP,Europe,Bucharest,263,0.05
185.233.81.117,443,443,TRUE,FRA,Europe,Frankfurt,199,0.05
91.201.25.200,443,443,TRUE,AMS,Europe,Amsterdam,227,0.05
188.225.60.50,443,443,TRUE,FRA,Europe,Frankfurt,381,0.04
82.148.30.224,443,443,TRUE,FRA,Europe,Frankfurt,260,0.04
192.177.26.152,443,443,TRUE,HEL,Europe,Helsinki,311,0.04
89.44.194.160,443,443,TRUE,FRA,Europe,Frankfurt,269,0.04
83.138.55.156,443,443,TRUE,VIE,Europe,Vienna,289,0.04
3.108.117.25,443,443,TRUE,BOM,Asia Pacific,Mumbai,227,0.04
192.177.26.55,443,443,TRUE,CPH,Europe,Copenhagen,370,0.04
85.255.4.39,443,443,TRUE,PRG,Europe,Prague,384,0.04
192.236.249.90,443,443,TRUE,AMS,Europe,Amsterdam,267,0.04
35.178.172.46,443,443,TRUE,LHR,Europe,London,227,0.04
89.191.226.73,443,443,TRUE,FRA,Europe,Frankfurt,394,0.04
154.16.16.24,443,443,TRUE,AMS,Europe,Amsterdam,268,0.04
166.1.161.55,443,443,TRUE,HEL,Europe,Helsinki,301,0.04
107.182.131.85,443,443,TRUE,HEL,Europe,Helsinki,271,0.03
45.144.233.168,443,443,TRUE,FRA,Europe,Frankfurt,279,0.03
185.94.167.108,443,443,TRUE,HEL,Europe,Helsinki,265,0.03
172.232.144.24,443,443,TRUE,ARN,Europe,Stockholm,336,0.03
212.38.166.47,443,443,TRUE,LHR,Europe,London,258,0.03
77.238.247.103,443,443,TRUE,AMS,Europe,Amsterdam,286,0.03
18.211.101.20,443,443,TRUE,IAD,North America,Ashburn,226,0.02
217.28.129.244,443,443,TRUE,CPH,Europe,Copenhagen,306,0.02
188.212.132.173,443,443,TRUE,AMS,Europe,Amsterdam,332,0.02
81.22.132.44,443,443,TRUE,AMS,Europe,Amsterdam,269,0.02
142.111.162.29,443,443,TRUE,HEL,Europe,Helsinki,318,0.02
107.182.130.69,443,443,TRUE,AMS,Europe,Amsterdam,313,0.02
89.42.142.220,443,443,TRUE,AMS,Europe,Amsterdam,274,0.02
31.210.173.73,443,443,TRUE,AMS,Europe,Amsterdam,421,0.01
192.236.249.109,443,443,TRUE,AMS,Europe,Amsterdam,311,0.01
31.172.70.222,443,443,TRUE,FRA,Europe,Frankfurt,267,0.01
91.192.102.55,443,443,TRUE,FRA,Europe,Frankfurt,311,0.01
192.236.249.107,443,443,TRUE,AMS,Europe,Amsterdam,319,0.01
107.182.129.83,443,443,TRUE,AMS,Europe,Amsterdam,270,0.01
45.144.49.149,443,443,TRUE,WAW,Europe,Warsaw,330,0.01
194.87.122.237,443,443,TRUE,HEL,Europe,Helsinki,276,0.01
107.182.130.77,443,443,TRUE,AMS,Europe,Amsterdam,342,0.01
107.182.130.118,443,443,TRUE,AMS,Europe,Amsterdam,275,0.01
176.57.212.3,443,443,TRUE,AMS,Europe,Amsterdam,426,0
163.5.207.103,443,443,TRUE,AMS,Europe,Amsterdam,270,0
107.182.131.220,443,443,TRUE,HEL,Europe,Helsinki,302,0
23.254.226.110,443,443,TRUE,AMS,Europe,Amsterdam,268,0
38.180.57.184,443,443,TRUE,AMS,Europe,Amsterdam,273,0
188.116.21.35,443,443,TRUE,AMS,Europe,Amsterdam,277,0
45.129.3.158,443,443,TRUE,AMS,Europe,Amsterdam,156,0
94.177.8.6,443,443,TRUE,VIE,Europe,Vienna,267,0
13.228.155.72,443,443,TRUE,SIN,Asia Pacific,Singapore,64,0
192.236.249.93,443,443,TRUE,AMS,Europe,Amsterdam,264,0
166.1.157.221,443,443,TRUE,HEL,Europe,Helsinki,301,0
45.59.187.65,443,443,TRUE,SJC,North America,San Jose,250,0
107.148.42.163,443,443,TRUE,LAX,North America,Los Angeles,163,0
43.206.192.211,443,443,TRUE,NRT,Asia Pacific,Tokyo,122,0
94.177.8.9,443,443,TRUE,VIE,Europe,Vienna,272,0
185.244.210.16,443,443,TRUE,CDG,Europe,Paris,322,0
52.202.68.136,443,443,TRUE,IAD,North America,Ashburn,228,0
77.238.226.46,443,443,TRUE,AMS,Europe,Amsterdam,302,0
91.227.77.87,443,443,TRUE,SOF,Europe,Sofia,295,0
165.227.134.63,443,443,TRUE,FRA,Europe,Frankfurt,278,0
146.56.161.229,443,443,TRUE,ICN,Asia Pacific,Seoul,76,0
107.182.130.16,443,443,TRUE,AMS,Europe,Amsterdam,313,0
132.145.14.158,443,443,TRUE,FRA,Europe,Frankfurt,268,0
95.164.8.12,443,443,TRUE,OSL,Europe,Oslo,384,0
208.67.105.2,443,443,TRUE,AMS,Europe,Amsterdam,310,0
157.254.53.50,80,80,FALSE,HKG,Asia Pacific,Hong Kong,31,16.02
13.56.251.164,80,443,TRUE,SJC,North America,San Jose,171,11.25
51.141.162.228,80,80,FALSE,SEA,North America,Seattle,204,10.76
204.110.220.79,80,443,TRUE,SEA,North America,Seattle,194,9.38
204.110.221.115,80,443,TRUE,SEA,North America,Seattle,197,9.37
204.110.220.186,80,443,TRUE,SEA,North America,Seattle,182,9.31
204.110.220.11,80,443,TRUE,SEA,North America,Seattle,190,9.23
204.110.221.23,80,443,TRUE,SEA,North America,Seattle,190,9.2
204.110.221.216,80,443,TRUE,SEA,North America,Seattle,197,8.98
18.236.13.188,80,443,TRUE,SEA,North America,Seattle,188,8.7
204.110.220.142,80,443,TRUE,SEA,North America,Seattle,193,8.39
204.110.223.160,80,443,TRUE,CMH,North America,Columbus,214,7.85
67.226.222.6,80,443,TRUE,CMH,North America,Columbus,212,7.62
204.110.223.117,80,443,TRUE,CMH,North America,Columbus,217,7.62
204.110.223.225,80,443,TRUE,CMH,North America,Columbus,214,7.36
204.110.223.220,80,443,TRUE,CMH,North America,Columbus,222,7.26
204.110.223.107,80,443,TRUE,CMH,North America,Columbus,227,7.21
204.110.223.176,80,443,TRUE,CMH,North America,Columbus,211,6.79
60.205.0.210,80,80,FALSE,NRT,Asia Pacific,Tokyo,51,6.79
204.110.223.254,80,443,TRUE,CMH,North America,Columbus,210,6.57
67.226.223.121,80,443,TRUE,CMH,North America,Columbus,219,6.4
35.177.194.94,80,443,TRUE,LHR,Europe,London,227,6.06
3.97.173.206,80,443,TRUE,YUL,North America,Montréal,248,5.59
54.170.117.187,80,443,TRUE,DUB,Europe,Dublin,240,5.43
3.9.118.241,80,443,TRUE,LHR,Europe,London,240,4.02
170.106.84.6,80,80,FALSE,SJC,North America,San Jose,177,3.61
204.110.220.39,80,443,TRUE,SEA,North America,Seattle,187,2.45
204.110.223.96,80,443,TRUE,CMH,North America,Columbus,219,1.78
204.110.220.148,80,443,TRUE,SEA,North America,Seattle,185,1.59
204.110.220.174,80,443,TRUE,SEA,North America,Seattle,182,1.05
34.117.254.68,80,80,FALSE,LAX,North America,Los Angeles,162,0.93
18.144.63.244,80,443,TRUE,SJC,North America,San Jose,176,0.81
54.176.142.183,80,443,TRUE,SJC,North America,San Jose,171,0.68
20.119.73.200,80,80,FALSE,IAD,North America,Ashburn,251,0.65
204.110.221.196,80,443,TRUE,SEA,North America,Seattle,181,0.45
35.247.124.181,80,80,FALSE,SEA,North America,Seattle,174,0.43
204.110.220.231,80,443,TRUE,SEA,North America,Seattle,197,0.37
54.153.85.10,80,443,TRUE,SJC,North America,San Jose,168,0.33
54.241.64.136,80,443,TRUE,SJC,North America,San Jose,179,0.33
54.153.96.188,80,443,TRUE,SJC,North America,San Jose,179,0.31
204.110.223.73,80,443,TRUE,CMH,North America,Columbus,227,0.27
204.110.220.76,80,443,TRUE,SEA,North America,Seattle,184,0.25
204.110.220.200,80,443,TRUE,SEA,North America,Seattle,186,0.24
20.81.104.97,80,443,FALSE,IAD,North America,Ashburn,254,0.21
3.9.223.59,80,443,TRUE,LHR,Europe,London,235,0.21
204.110.220.37,80,443,TRUE,SEA,North America,Seattle,180,0.2
204.110.223.132,80,443,TRUE,CMH,North America,Columbus,219,0.19
18.171.206.105,80,443,TRUE,LHR,Europe,London,222,0.18
204.110.223.77,80,443,TRUE,CMH,North America,Columbus,210,0.18
52.53.250.40,80,443,TRUE,SJC,North America,San Jose,176,0.18
3.101.73.167,80,443,TRUE,SJC,North America,San Jose,167,0.17
52.209.63.185,80,443,TRUE,DUB,Europe,Dublin,249,0.15
204.110.221.211,80,443,TRUE,SEA,North America,Seattle,194,0.15
67.226.222.74,80,443,TRUE,CMH,North America,Columbus,209,0.15
67.226.222.40,80,443,TRUE,CMH,North America,Columbus,217,0.14
204.110.221.110,80,443,TRUE,SEA,North America,Seattle,194,0.14
204.110.223.135,80,443,TRUE,CMH,North America,Columbus,232,0.12
204.110.221.204,80,443,TRUE,SEA,North America,Seattle,184,0.12
204.110.220.168,80,443,TRUE,SEA,North America,Seattle,190,0.11
204.110.223.51,80,443,TRUE,CMH,North America,Columbus,214,0.07
52.209.63.176,80,443,TRUE,DUB,Europe,Dublin,227,0.07
35.176.229.223,80,443,TRUE,LHR,Europe,London,224,0.07
204.110.220.181,80,443,TRUE,SEA,North America,Seattle,193,0.07
67.226.222.187,80,443,TRUE,CMH,North America,Columbus,209,0.06
204.110.223.174,80,443,TRUE,CMH,North America,Columbus,225,0.06
67.226.222.53,80,443,TRUE,CMH,North America,Columbus,208,0.06
67.226.222.56,80,443,TRUE,CMH,North America,Columbus,213,0.05
13.43.218.163,80,443,TRUE,LHR,Europe,London,236,0.05
204.110.223.210,80,443,TRUE,CMH,North America,Columbus,213,0.04
204.110.223.190,80,443,TRUE,CMH,North America,Columbus,211,0.04
67.226.222.154,80,443,TRUE,CMH,North America,Columbus,222,0.04
35.178.213.86,80,443,TRUE,LHR,Europe,London,217,0.03
204.110.223.191,80,443,TRUE,CMH,North America,Columbus,212,0
52.59.254.244,8080,443,TRUE,FRA,Europe,Frankfurt,203,9.89
18.130.254.28,8080,443,TRUE,LHR,Europe,London,213,8.86
13.41.76.64,8080,443,TRUE,LHR,Europe,London,232,7.59
172.201.100.218,8080,443,TRUE,AMS,Europe,Amsterdam,218,7.39
3.8.185.82,8080,443,TRUE,LHR,Europe,London,242,7.39
13.53.193.196,8080,443,TRUE,ARN,Europe,Stockholm,216,7.3
35.177.152.124,8080,443,TRUE,LHR,Europe,London,242,7.11
18.133.225.206,8080,443,TRUE,LHR,Europe,London,242,7.07
13.40.220.165,8080,443,TRUE,LHR,Europe,London,229,6.8
3.9.18.106,8080,443,TRUE,LHR,Europe,London,247,6.37
13.53.134.252,8080,443,TRUE,ARN,Europe,Stockholm,232,6.21
18.133.250.248,8080,443,TRUE,LHR,Europe,London,243,6.2
18.168.151.116,8080,443,TRUE,LHR,Europe,London,236,4.48
23.94.136.126,8080,443,TRUE,ORD,North America,Chicago,226,3.3
16.170.171.72,8080,443,TRUE,ARN,Europe,Stockholm,251,2.03
3.71.196.187,8080,443,TRUE,FRA,Europe,Frankfurt,195,1.92
3.8.172.27,8080,443,TRUE,LHR,Europe,London,236,1.61
51.21.108.208,8080,443,TRUE,ARN,Europe,Stockholm,247,1.4
13.60.87.228,8080,443,TRUE,ARN,Europe,Stockholm,236,0.89
51.20.55.209,8080,443,TRUE,ARN,Europe,Stockholm,247,0.6
16.171.20.42,8080,443,TRUE,ARN,Europe,Stockholm,236,0.38
8.212.41.98,8080,8080,FALSE,SJC,North America,San Jose,35,0.32
107.150.100.118,8080,443,TRUE,LAX,North America,Los Angeles,173,0.29
3.75.170.179,8080,443,TRUE,FRA,Europe,Frankfurt,232,0.21
18.168.151.36,8080,443,TRUE,LHR,Europe,London,233,0.2
54.93.110.153,8080,443,TRUE,FRA,Europe,Frankfurt,201,0.2
13.53.117.221,8080,443,TRUE,ARN,Europe,Stockholm,211,0.19
16.171.255.107,8080,443,TRUE,ARN,Europe,Stockholm,236,0.19
3.64.125.14,8080,443,TRUE,FRA,Europe,Frankfurt,205,0.14
16.171.20.21,8080,443,TRUE,ARN,Europe,Stockholm,247,0.12
13.42.36.146,8080,443,TRUE,LHR,Europe,London,227,0.09
13.53.51.77,8080,443,TRUE,ARN,Europe,Stockholm,232,0.08
18.133.253.214,8080,443,TRUE,LHR,Europe,London,211,0.08
3.65.14.44,8080,443,TRUE,FRA,Europe,Frankfurt,207,0.07
13.53.54.176,8080,443,TRUE,ARN,Europe,Stockholm,242,0.06
18.134.147.9,8080,443,TRUE,LHR,Europe,London,229,0.04
82.163.16.69,8080,443,TRUE,NRT,Asia Pacific,Tokyo,229,0.03
140.238.158.238,8080,443,TRUE,YYZ,North America,Toronto,229,0
16.171.28.122,8080,443,TRUE,ARN,Europe,Stockholm,224,0
4.242.220.94,8080,0,TRUE,SJC,North America,San Jose,214,0
3.123.35.229,8443,443,TRUE,FRA,Europe,Frankfurt,215,14.53
4.161.46.61,8443,443,TRUE,BOM,Asia Pacific,Mumbai,153,12.23
63.32.194.15,8443,443,TRUE,DUB,Europe,Dublin,239,10.61
207.60.50.14,8443,443,TRUE,LAX,North America,Los Angeles,173,10.23
