IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.60.115.44,2053,443,true,ARN,Europe,Stockholm,235,13.10
4.188.7.41,2053,443,true,BOM,Asia Pacific,Mumbai,122,10.60
54.213.215.13,2053,443,true,SEA,North America,Seattle,183,9.57
3.78.24.246,2053,443,true,FRA,Europe,Frankfurt,204,8.81
34.213.125.194,2053,443,true,SEA,North America,Seattle,185,8.74
13.50.181.204,2053,443,true,ARN,Europe,Stockholm,246,8.32
3.144.80.78,2053,443,true,CMH,North America,Columbus,219,8.18
16.63.233.188,2053,443,true,MXP,Europe,Milan,204,7.98
13.201.27.214,2053,443,true,BOM,Asia Pacific,Mumbai,333,7.80
99.80.78.243,2053,443,true,DUB,Europe,Dublin,240,6.77
8.219.129.170,2053,443,true,SIN,Asia Pacific,Singapore,235,6.72
16.171.114.20,2053,443,true,ARN,Europe,Stockholm,250,6.67
40.127.8.70,2053,443,true,JNB,Africa,Johannesburg,249,6.06
16.170.220.15,2053,443,true,ARN,Europe,Stockholm,210,6.00
54.171.66.64,2053,443,true,DUB,Europe,Dublin,233,5.98
54.177.215.172,2053,443,true,SJC,North America,San Jose,175,5.83
96.0.24.249,2053,443,true,CPH,Europe,Copenhagen,228,5.50
3.249.170.21,2053,443,true,DUB,Europe,Dublin,242,5.33
20.215.200.208,2053,443,true,WAW,Europe,Warsaw,270,5.10
18.175.224.91,2053,443,true,LHR,Europe,London,233,4.95
34.240.33.147,2053,443,true,DUB,Europe,Dublin,230,4.64
129.146.242.24,2053,443,true,LAX,North America,Los Angeles,185,4.51
132.145.54.84,2053,443,true,LHR,Europe,London,253,4.48
3.1.116.161,2053,443,true,SIN,Asia Pacific,Singapore,71,4.16
158.178.206.197,2053,443,true,CDG,Europe,Paris,269,3.83
18.194.183.74,2053,443,true,FRA,Europe,Frankfurt,218,3.33
38.6.158.133,2053,443,true,LAX,North America,Los Angeles,183,2.86
3.79.109.87,2053,443,true,FRA,Europe,Frankfurt,228,2.55
20.86.144.225,2053,443,true,AMS,Europe,Amsterdam,213,1.56
18.236.77.255,2053,443,true,SEA,North America,Seattle,187,1.54
194.105.81.118,2053,443,true,LHR,Europe,London,248,1.53
20.251.105.41,2053,443,true,CPH,Europe,Copenhagen,267,1.34
4.223.156.174,2053,443,true,ARN,Europe,Stockholm,231,1.21
192.210.160.170,2053,443,true,AMS,Europe,Amsterdam,273,0.91
34.106.175.80,2053,443,true,SLC,North America,Salt Lake City,182,0.73
35.176.122.244,2053,443,true,LHR,Europe,London,224,0.71
3.76.210.181,2053,443,true,FRA,Europe,Frankfurt,200,0.71
150.230.20.156,2053,443,true,AMS,Europe,Amsterdam,271,0.67
35.156.134.213,2053,443,true,FRA,Europe,Frankfurt,209,0.59
130.61.203.115,2053,443,true,FRA,Europe,Frankfurt,281,0.44
172.245.19.17,2053,443,true,ATL,North America,Atlanta,247,0.42
15.157.59.78,2053,443,true,YUL,North America,Montréal,249,0.40
141.144.198.113,2053,443,true,AMS,Europe,Amsterdam,268,0.38
16.16.114.102,2053,443,true,ARN,Europe,Stockholm,233,0.34
13.51.55.184,2053,443,true,ARN,Europe,Stockholm,244,0.33
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,258,0.30
143.47.243.144,2053,443,true,LHR,Europe,London,269,0.27
172.205.149.35,2053,443,true,AMS,Europe,Amsterdam,216,0.26
16.24.96.56,2053,443,true,FRA,Europe,Frankfurt,301,0.22
13.38.3.0,2053,443,true,CDG,Europe,Paris,205,0.21
20.90.163.76,2053,443,true,LHR,Europe,London,209,0.17
3.70.179.115,2053,443,true,FRA,Europe,Frankfurt,216,0.17
3.98.54.22,2053,443,true,YUL,North America,Montréal,237,0.17
89.168.68.57,2053,443,true,FRA,Europe,Frankfurt,307,0.16
193.246.161.63,2053,443,true,NRT,Asia Pacific,Tokyo,246,0.14
13.40.25.196,2053,443,true,LHR,Europe,London,223,0.14
3.77.188.47,2053,443,true,FRA,Europe,Frankfurt,220,0.13
54.74.164.212,2053,443,true,DUB,Europe,Dublin,244,0.11
13.37.224.156,2053,443,true,CDG,Europe,Paris,240,0.10
3.250.120.169,2053,443,true,DUB,Europe,Dublin,252,0.09
18.156.153.248,2053,443,true,FRA,Europe,Frankfurt,202,0.07
192.210.160.177,2053,443,true,AMS,Europe,Amsterdam,285,0.07
158.179.207.182,2053,443,true,ARN,Europe,Stockholm,306,0.06
13.60.213.178,2053,443,true,CPH,Europe,Copenhagen,243,0.05
129.151.198.3,2053,443,true,ARN,Europe,Stockholm,294,0.05
23.94.211.237,2053,443,true,SEA,North America,Seattle,197,0.05
104.168.102.121,2053,443,true,SJC,North America,San Jose,202,0.04
35.228.132.81,2053,443,true,ARN,Europe,Stockholm,286,0.04
158.101.169.13,2053,443,true,FRA,Europe,Frankfurt,253,0.02
132.226.163.224,2053,443,true,GRU,South America,São Paulo,346,0.01
158.101.175.51,2053,443,true,FRA,Europe,Frankfurt,278,0.00
52.59.44.105,2053,443,true,FRA,Europe,Frankfurt,214,0.00
18.196.92.175,2053,443,true,FRA,Europe,Frankfurt,209,0.00
18.153.166.250,2053,443,true,FRA,Europe,Frankfurt,209,0.00
