IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
43.153.103.203,443,443,true,SJC,North America,San Jose,164,19.65
31.129.49.103,443,443,true,LED,Europe,Saint Petersburg,253,17.84
154.17.30.93,443,443,true,LAX,North America,Los Angeles,169,17.40
98.70.26.236,443,443,true,BOM,Asia Pacific,Mumbai,118,15.61
91.149.239.122,443,443,true,LAX,North America,Los Angeles,174,12.88
23.94.240.119,443,443,true,SJC,North America,San Jose,162,11.68
35.197.23.75,443,443,true,SEA,North America,Seattle,167,11.34
54.193.48.13,443,443,true,SJC,North America,San Jose,163,11.25
35.83.185.225,443,443,true,PDX,North America,Portland,186,11.06
35.88.179.136,443,443,true,SEA,North America,Seattle,182,10.36
3.122.86.99,443,443,true,FRA,Europe,Frankfurt,197,9.96
166.0.198.88,443,443,true,TPE,Asia Pacific,Taipei,201,9.53
54.203.85.46,443,443,true,SEA,North America,Seattle,178,9.43
35.158.128.204,443,443,true,FRA,Europe,Frankfurt,215,9.36
186.67.70.55,443,443,true,SCL,South America,Santiago,316,8.86
54.213.214.160,443,443,true,SEA,North America,Seattle,185,8.76
3.66.115.225,443,443,true,FRA,Europe,Frankfurt,210,8.49
3.18.225.231,443,443,true,CMH,North America,Columbus,205,8.43
35.167.93.200,443,443,true,SEA,North America,Seattle,192,8.36
185.103.253.35,443,443,true,FRA,Europe,Frankfurt,176,8.04
185.7.33.49,443,443,true,OSL,Europe,Oslo,217,8.02
18.119.117.17,443,443,true,CMH,North America,Columbus,214,7.91
13.58.133.212,443,443,true,ORD,North America,Chicago,213,7.78
3.127.55.133,443,443,true,FRA,Europe,Frankfurt,215,7.74
172.187.200.28,443,443,true,LHR,Europe,London,208,7.73
3.75.170.179,443,443,true,FRA,Europe,Frankfurt,207,7.69
35.95.178.68,443,443,true,SEA,North America,Seattle,183,7.38
95.164.62.196,443,443,true,AMS,Europe,Amsterdam,222,7.33
23.165.40.119,443,443,true,LAX,North America,Los Angeles,183,7.15
3.17.59.81,443,443,true,CMH,North America,Columbus,225,7.06
16.171.88.61,443,443,true,CPH,Europe,Copenhagen,235,6.88
51.21.48.77,443,443,true,ARN,Europe,Stockholm,218,6.81
38.60.91.95,443,443,true,LAX,North America,Los Angeles,174,6.70
54.74.167.219,443,443,true,DUB,Europe,Dublin,249,6.57
173.249.207.151,443,443,true,SJC,North America,San Jose,185,6.56
3.8.172.27,443,443,true,LHR,Europe,London,231,6.52
20.121.115.188,443,443,true,IAD,North America,Ashburn,254,6.42
3.18.169.201,443,443,true,CMH,North America,Columbus,213,6.39
167.172.40.90,443,443,true,AMS,Europe,Amsterdam,272,6.16
67.226.221.231,443,443,true,IAD,North America,Ashburn,217,6.15
178.154.222.149,443,443,true,DME,Europe,Moscow,294,5.58
195.62.33.94,443,443,true,FRA,Europe,Frankfurt,214,5.47
51.20.197.83,443,443,true,ARN,Europe,Stockholm,229,5.44
213.226.68.24,443,443,true,FRA,Europe,Frankfurt,199,5.38
